datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
2008-07-01 12:00:00+00:00,Litoral De Pecem,21.8,3.4,-84.4
2008-07-01 12:00:00+00:00,Litoral Norte,11.6,6.5,-44.3
2008-07-01 12:00:00+00:00,Macico De Baturite,33.9,40.7,20.0
2008-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,9.6,-25.7
2008-08-01 12:00:00+00:00,Cariri,3.4,5.4,58.0
2008-08-01 12:00:00+00:00,Ibiapaba,2.7,8.8,220.8
2008-08-01 12:00:00+00:00,Jaguaribana,6.7,6.4,-4.4
2008-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,11.8,17.2
2008-08-01 12:00:00+00:00,Litoral De Pecem,4.2,16.1,285.7
2008-08-01 12:00:00+00:00,Litoral Norte,2.2,13.0,504.3
2008-08-01 12:00:00+00:00,Macico De Baturite,12.9,29.2,127.4
2008-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.8,7.6,55.9
2008-09-01 12:00:00+00:00,Cariri,5.6,1.1,-79.7
2008-09-01 12:00:00+00:00,Ibiapaba,1.1,0.5,-51.2
2008-09-01 12:00:00+00:00,Jaguaribana,1.4,0.3,-78.1
