datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
1976-05-01 12:00:00+00:00,Litoral De Fortaleza,148.9,51.8,-65.2
1976-05-01 12:00:00+00:00,Litoral De Pecem,112.0,40.6,-63.8
1976-05-01 12:00:00+00:00,Litoral Norte,121.5,59.3,-51.2
1976-05-01 12:00:00+00:00,Macico De Baturite,136.6,26.5,-80.6
1976-05-01 12:00:00+00:00,Sertao Central E Inhamuns,70.0,21.9,-68.7
1976-06-01 12:00:00+00:00,Cariri,20.1,4.9,-75.5
1976-06-01 12:00:00+00:00,Ibiapaba,32.8,13.7,-58.1
1976-06-01 12:00:00+00:00,Jaguaribana,43.2,10.7,-75.2
1976-06-01 12:00:00+00:00,Litoral De Fortaleza,89.0,21.5,-75.8
1976-06-01 12:00:00+00:00,Litoral De Pecem,53.6,19.3,-64.0
1976-06-01 12:00:00+00:00,Litoral Norte,37.3,25.5,-31.5
1976-06-01 12:00:00+00:00,Macico De Baturite,81.6,26.9,-67.0
1976-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.0,6.9,-76.3
1976-07-01 12:00:00+00:00,Cariri,10.4,0.2,-97.8
1976-07-01 12:00:00+00:00,Ibiapaba,12.0,1.9,-84.5
1976-07-01 12:00:00+00:00,Jaguaribana,18.1,4.1,-77.4
1976-07-01 12:00:00+00:00,Litoral De Fortaleza,33.1,10.1,-69.5
1976-07-01 12:00:00+00:00,Litoral De Pecem,21.8,8.8,-59.8
1976-07-01 12:00:00+00:00,Litoral Norte,11.6,9.3,-19.7
1976-07-01 12:00:00+00:00,Macico De Baturite,33.9,9.9,-70.7
1976-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,1.8,-86.0
1976-08-01 12:00:00+00:00,Cariri,3.4,1.2,-64.3
1976-08-01 12:00:00+00:00,Ibiapaba,2.7,1.4,-47.6
1976-08-01 12:00:00+00:00,Jaguaribana,6.7,2.7,-59.9
1976-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,11.2,11.5
